"","stem","positive","negative","uncertainty","litigious"
"821","lost",0,1,0,0
"822","loyal",1,0,0,0
"823","lucr",1,0,0,0
"824","ly",0,1,0,0
"825","mai",0,0,1,0
"826","majeur",0,0,0,1
"827","malfeas",0,1,0,0
"828","malfunct",0,1,0,0
"829","malic",0,1,0,0
"830","malici",0,1,0,0
"831","malpractic",0,1,0,0
"832","mandamu",0,0,0,1
"833","manipul",0,1,0,0
"834","markdown",0,1,0,0
"835","mayb",0,0,1,0
"836","mediat",0,0,0,1
"837","meritori",1,0,0,0
"838","might",0,0,1,0
"839","misappl",0,1,0,0
"840","misappli",0,1,0,0
"841","misappropri",0,1,0,0
"842","misbrand",0,1,0,0
"843","miscalcul",0,1,0,0
"844","mischaracter",0,1,0,0
"845","mischief",0,1,0,0
"846","misclassif",0,1,0,0
"847","misclassifi",0,1,0,0
"848","miscommun",0,1,0,0
"849","misconduct",0,1,0,0
"850","misdat",0,1,0,0
"851","misdemeanor",0,1,0,1
"852","misdirect",0,1,0,0
"853","misfeas",0,0,0,1
"854","mishandl",0,1,0,0
"855","misinform",0,1,0,0
"856","misinterpret",0,1,0,0
"857","misjudg",0,1,0,0
"858","misl",0,1,0,0
"859","mislabel",0,1,0,0
"860","mislead",0,1,0,0
"861","misleadingli",0,1,0,0
"862","mismanag",0,1,0,0
"863","mismatch",0,1,0,0
"864","misplac",0,1,0,0
"865","mispric",0,1,0,0
"866","misrepres",0,1,0,0
"867","misrepresent",0,1,0,0
"868","miss",0,1,0,0
"869","misstat",0,1,0,0
"870","misstep",0,1,0,0
"871","mistak",0,1,0,0
"872","mistaken",0,1,0,0
"873","mistakenli",0,1,0,0
"874","mistrial",0,1,0,1
"875","misunderstand",0,1,0,0
"876","misunderstood",0,1,0,0
"877","misus",0,1,0,0
"878","monopol",0,1,0,0
"879","monopoli",0,1,0,0
"880","monopolist",0,1,0,0
"881","moratoria",0,1,0,0
"882","moratorium",0,1,0,0
"883","moreov",0,0,0,1
"884","mothbal",0,1,0,0
"885","motion",0,0,0,1
"886","mutandi",0,0,0,1
"887","nearli",0,0,1,0
"888","neg",0,1,0,0
"889","neglect",0,1,0,0
"890","neglig",0,1,0,0
"891","nolo",0,0,0,1
"892","nonappeal",0,0,0,1
"893","nonassess",0,0,1,0
"894","nonattain",0,1,0,0
"895","nonbreach",0,0,0,1
"896","noncompetit",0,1,0,0
"897","noncompli",0,1,0,0
"898","nonconform",0,1,0,0
"899","nonconting",0,0,0,1
"900","noncontract",0,0,0,1
"901","noncontractu",0,0,0,1
"902","noncontributori",0,0,0,1
"903","nondisclosur",0,1,0,0
"904","nonfeas",0,0,0,1
"905","nonfiduciari",0,0,0,1
"906","nonforfeit",0,0,0,1
"907","nonforfeitur",0,0,0,1
"908","nonfunct",0,1,0,0
"909","nonguarantor",0,0,0,1
"910","noninfring",0,0,0,1
"911","nonjudici",0,0,0,1
"912","nonjurisdict",0,0,0,1
"913","nonpay",0,1,0,0
"914","nonperform",0,1,0,0
"915","nonproduc",0,1,0,0
